d1 d2 d3
3.15359998 4.11439991 5.03679991
3.15720010 4.20400000 4.90240002
3.15319991 4.23439980 4.86240005
3.15159988 4.23999977 5.01440001
3.12240005 4.19519997 5.00479984
3.11800003 4.19680023 4.99520016
3.14879990 4.16800022 4.88640022
3.11960006 4.19280005 4.96159983
3.13680005 4.21280003 5.01280022
3.16039991 4.14960003 4.96479988
3.13479996 4.21680021 5.01599979
3.13120008 4.18959999 4.88479996
3.14720011 4.17679977 4.92799997
3.14680004 4.20480013 4.95839977
3.14159989 4.16239977 4.91359997
3.15680003 4.18480015 4.95520020
3.16520000 4.20160007 5.00960016
3.12479997 4.20879984 4.82079983
3.13400006 4.20079994 4.85920000
3.14479995 4.17600012 4.97599983
3.13720012 4.19199991 4.86719990
3.15479994 4.21920013 4.91680002
3.12759995 4.15520000 4.88959980
3.12800002 4.23360014 5.10080004
3.15039992 4.15199995 4.96640015
3.16599989 4.23680019 5.03039980
3.15039992 4.13999987 4.97760010
3.12680006 4.19600010 4.96960020
3.14479995 4.22879982 4.78879976
3.13800001 4.16960001 5.03679991
3.14639997 4.21280003 4.84639978
3.14319992 4.20160007 5.00640011
3.12120008 4.20319986 5.02239990
3.13520002 4.13520002 4.91039991
3.17960000 4.20639992 4.86560011
3.16479993 4.22639990 4.84320021
3.14280009 4.30079985 4.90399981
3.15039992 4.12480021 4.93440008
3.15319991 4.22480011 4.88159990
3.14639997 4.28000021 4.98880005
3.13599992 4.21439981 4.93120003
3.11960006 4.14879990 4.80159998
3.14280009 4.17999983 4.99520016
3.14000010 4.14879990 5.07520008
3.14479995 4.12239981 4.90399981
3.12680006 4.19759989 4.95039988
3.13560009 4.21600008 4.94239998
3.13599992 4.15040016 4.97440004
3.14759994 4.18639994 4.96320009
3.15000010 4.20160007 4.93440008
3.13720012 4.23920012 4.97279978
3.14080000 4.24959993 4.97919989
3.16759992 4.19439983 4.84320021
3.12439990 4.20879984 4.87360001
3.13319993 4.13600016 4.83839989
3.12159991 4.13040018 4.87680006
3.16000009 4.20480013 4.92479992
3.13360000 4.21999979 4.90719986
3.14800000 4.17280006 5.04160023
3.13240004 4.22959995 4.85599995
3.13680005 4.21280003 4.92000008
3.13039994 4.17119980 5.03200006
3.13159990 4.17920017 4.98080015
3.14280009 4.15119982 5.01760006
3.14080000 4.16480017 4.91520023
3.11719990 4.17280006 4.88159990
3.17160010 4.14879990 4.96479988
3.15799999 4.16559982 4.88800001
3.14120007 4.13520002 4.84000015
3.10800004 4.24160004 4.91839981
3.13319993 4.18079996 4.88640022
3.14759994 4.14319992 4.93760014
3.13319993 4.17679977 4.95039988
3.15039992 4.25759983 4.95679998
3.16400003 4.21999979 4.92320013
3.16919994 4.18879986 4.80159998
3.15240002 4.25040007 4.93760014
3.14879990 4.18160009 5.07679987
3.16799998 4.21360016 5.03679991
3.17039990 4.12319994 4.80800009
3.13240004 4.22160006 4.97599983
3.14319992 4.17439985 4.93599987
3.14280009 4.19040012 5.11199999
3.15440011 4.19439983 4.99840021
3.16400003 4.16879988 4.87680006
3.15319991 4.18319988 4.81759977
3.13080001 4.19040012 4.96960020
3.13840008 4.17280006 4.92159986
3.15680003 4.22240019 4.93599987
3.15280008 4.15280008 4.78399992
3.11319995 4.19280005 4.87200022
3.15560007 4.16239977 4.91359997
3.16520000 4.22959995 4.91839981
3.13680005 4.21920013 4.96159983
3.12520003 4.17759991 4.88159990
3.13680005 4.10080004 4.89919996
3.10240006 4.18800020 4.69280005
3.14919996 4.21600008 4.90880013
3.12639999 4.16239977 4.88959980
3.10800004 4.18240023 5.01440001
3.15079999 4.21280003 4.91839981
3.12240005 4.19600010 4.99840021
3.14919996 4.26240015 5.00159979
3.13879991 4.21600008 4.87519979
3.12280011 4.20480013 4.87039995
3.14960003 4.19119978 4.95359993
3.16319990 4.22399998 4.84639978
3.16319990 4.25920010 4.86560011
3.14199996 4.16239977 4.91839981
3.13800001 4.20879984 4.82880020
3.14120007 4.21999979 5.00640011
3.11560011 4.13999987 4.92959976
3.13560009 4.24720001 4.98880005
3.18079996 4.19199991 4.96159983
3.12479997 4.19040012 5.00000000
3.11599994 4.09200001 4.85599995
3.15479994 4.14879990 4.82880020
3.15280008 4.20400000 4.91039991
3.15520000 4.21759987 4.88479996
3.16560006 4.17119980 4.89919996
3.14599991 4.17999983 4.78879976
3.14000010 4.18400002 5.01119995
3.13599992 4.21199989 4.88320017
3.14280009 4.25360012 4.96159983
3.12840009 4.19199991 4.90719986
3.11520004 4.17999983 4.90560007
3.13800001 4.23519993 4.93440008
3.11520004 4.18959999 4.97279978
3.11520004 4.16559982 4.89120007
3.15759993 4.25519991 4.95359993
3.11879992 4.13759995 4.91039991
3.14680004 4.21280003 5.00320005
3.13439989 4.19600010 4.91200018
3.11999989 4.20400000 4.99359989
3.14560008 4.21600008 4.82079983
3.14240003 4.19840002 4.96799994
3.15079999 4.20639992 4.81599998
3.16520000 4.19920015 4.91680002
3.12120008 4.24319983 5.09919977
3.14840007 4.17519999 4.89599991
3.10439992 4.14160013 4.98559999
3.13800001 4.20559978 4.99840021
3.13439989 4.12559986 4.92799997
